
===== backside_reject: 43 rows -> 10 first-rejects (33 repeats) =====
  2026-08-06 ISPC   @2.0492   off(15:30)   +9.8%  eod   +9.8%  $  +6.86  dg=6.73  [ma_pullback]
  2026-08-11 RDGT   @0.9      off(15:30)   +9.7%  eod   +9.7%  $  +6.77  dg=-9.08  [flat_top]
  2026-08-07 RDGT   @0.707    off(15:30)   +9.4%  eod  +10.3%  $  +6.60  dg=-10.07  [ignition]
  2026-08-06 HKIT   @3.294    off(15:30)   +9.0%  eod  +25.4%  $  +6.29  dg=13.59  [ma_pullback]
  2026-08-07 BARK   @10.315   off(15:30)   +8.4%  eod   +9.7%  $  +5.87  dg=12.61  [ma_pullback]
  2026-08-05 DXST   @2.4921   off(15:30)   +8.3%  eod   +8.3%  $  +5.84  dg=-8.04  [ma_pullback]
  2026-08-06 AMIX   @13.18    off(15:30)   +8.1%  eod   +8.1%  $  +5.68  dg=8.93  [flat_top]
  2026-08-10 CELZ   @1.25     off(15:30)   +8.0%  eod   +8.0%  $  +5.60  dg=-11.97  [ma_pullback]
  2026-08-10 ADVB   @7.2947   off(15:30)   +7.7%  eod  +10.9%  $  +0.00  dg=14.52  [ma_pullback]
  2026-08-11 NCRA   @2.32     off(15:30)   +7.7%  eod   +7.7%  $  +0.00  dg=13.17  [ignition]
  2026-08-10 NXTC   @6.6675   off(15:30)   +7.5%  eod   +7.5%  $  +0.00  dg=14.17  [flat_top]
  2026-08-05 NUWE   @1.79     off(15:30)   +7.3%  eod   +7.3%  $  +0.00  dg=-4.79  [ma_pullback]
  2026-08-11 MNDR   @1.985    off(15:30)   +6.8%  eod   +6.8%  $  +0.00  dg=13.43  [ma_pullback]
  2026-08-07 AMIX   @11.06    off(15:30)   +6.6%  eod   +6.6%  $  +0.00  dg=-9.12  [flat_top]
  2026-08-07 AQB    @1.2101   off(15:30)   +6.6%  eod   +6.6%  $  +0.00  dg=13.09  [ignition]
  2026-08-07 AIXI   @1.17     off(15:30)   +6.0%  eod   +6.0%  $  +0.00  dg=10.38  [ignition]
  2026-08-11 SNTG   @2.03     off(15:30)   +5.9%  eod   +5.9%  $  +0.00  dg=9.14  [ignition]
  2026-08-10 FCUV   @5.8156   off(15:30)   +5.6%  eod  +18.5%  $  +0.00  dg=11.84  [flat_top]
  2026-08-07 CABR   @1.6852   off(15:30)   +5.2%  eod   +5.2%  $  +0.00  dg=4.67  [ignition]
  2026-08-05 PLAG   @0.6002   off(15:30)   +5.0%  eod   +5.0%  $  +0.00  dg=14.32  [flat_top]
  2026-08-05 XOS    @2.895    off(15:30)   +5.0%  eod  +18.1%  $  +0.00  dg=10.08  [ignition]
  2026-08-07 MF     @10.47    off(15:30)   +5.0%  eod   +5.0%  $  +0.00  dg=-0.29  [ignition]
  2026-08-11 VSA    @3.72     off(15:30)   +4.8%  eod   +4.8%  $  +0.00  dg=10.71  [ignition]
  2026-08-06 HUBC   @0.974    off(15:30)   +4.7%  eod   +4.7%  $  +0.00  dg=14.23  [ma_pullback]
  2026-08-05 MEDS   @3.575    off(15:30)   +4.6%  eod   +4.6%  $  +0.00  dg=12.78  [ma_pullback]
